x                        Q2                 y       z                  PhT^2              Mult        
0.1488 [0.1000-0.2100)    9.8 [7.0-16.0)   0.230   0.20 [0.20-0.30)   2.20 [2.05-2.35)   0.0108 +- 0.0011 +- 0.2884
0.1488 [0.1000-0.2100)    9.8 [7.0-16.0)   0.230   0.20 [0.20-0.30)   2.50 [2.35-2.65)   0.0069 +- 0.0009 +- 0.3216
0.1488 [0.1000-0.2100)    9.8 [7.0-16.0)   0.230   0.20 [0.20-0.30)   2.83 [2.65-3.00)   0.0045 +- 0.0007 +- 0.3556
0.0170 [0.0130-0.0200)    3.5 [3.0-7.0)   0.695   0.20 [0.20-0.30)   0.11 [0.10-0.12)   4.9196 +- 0.1516 +- 0.0764
0.0170 [0.0130-0.0200)    3.5 [3.0-7.0)   0.695   0.20 [0.20-0.30)   0.13 [0.12-0.14)   4.4383 +- 0.1487 +- 0.0773
0.0170 [0.0130-0.0200)    3.5 [3.0-7.0)   0.695   0.20 [0.20-0.30)   0.16 [0.14-0.17)   3.9296 +- 0.1111 +- 0.0763
0.0170 [0.0130-0.0200)    3.5 [3.0-7.0)   0.695   0.20 [0.20-0.30)   0.18 [0.17-0.20)   3.3296 +- 0.1119 +- 0.0773
0.0170 [0.0130-0.0200)    3.5 [3.0-7.0)   0.695   0.20 [0.20-0.30)   0.21 [0.20-0.23)   2.9269 +- 0.0908 +- 0.0775
0.0170 [0.0130-0.0200)    3.5 [3.0-7.0)   0.695   0.20 [0.20-0.30)   0.25 [0.23-0.27)   2.4814 +- 0.0758 +- 0.0778
0.0170 [0.0130-0.0200)    3.5 [3.0-7.0)   0.695   0.20 [0.20-0.30)   0.29 [0.27-0.30)   2.1938 +- 0.0813 +- 0.0794
0.0170 [0.0130-0.0200)    3.5 [3.0-7.0)   0.695   0.20 [0.20-0.30)   0.32 [0.30-0.35)   1.9033 +- 0.0607 +- 0.0780
0.0170 [0.0130-0.0200)    3.5 [3.0-7.0)   0.695   0.20 [0.20-0.30)   0.38 [0.35-0.40)   1.6358 +- 0.0565 +- 0.0797
0.0170 [0.0130-0.0200)    3.5 [3.0-7.0)   0.695   0.20 [0.20-0.30)   0.43 [0.40-0.46)   1.2937 +- 0.0455 +- 0.0802
0.0170 [0.0130-0.0200)    3.5 [3.0-7.0)   0.695   0.20 [0.20-0.30)   0.49 [0.46-0.52)   0.9234 +- 0.0361 +- 0.0815
0.0170 [0.0130-0.0200)    3.5 [3.0-7.0)   0.695   0.20 [0.20-0.30)   0.56 [0.52-0.60)   0.7502 +- 0.0298 +- 0.0834
0.0170 [0.0130-0.0200)    3.5 [3.0-7.0)   0.695   0.20 [0.20-0.30)   0.64 [0.60-0.68)   0.6232 +- 0.0264 +- 0.0837
0.0170 [0.0130-0.0200)    3.5 [3.0-7.0)   0.695   0.20 [0.20-0.30)   0.72 [0.68-0.76)   0.4373 +- 0.0222 +- 0.0868
0.0170 [0.0130-0.0200)    3.5 [3.0-7.0)   0.695   0.20 [0.20-0.30)   0.81 [0.76-0.87)   0.3377 +- 0.0164 +- 0.0869
0.0170 [0.0130-0.0200)    3.5 [3.0-7.0)   0.695   0.20 [0.20-0.30)   0.94 [0.87-1.00)   0.2565 +- 0.0133 +- 0.0891
0.0170 [0.0130-0.0200)    3.5 [3.0-7.0)   0.695   0.20 [0.20-0.30)   1.06 [1.00-1.12)   0.1953 +- 0.0117 +- 0.0936
0.0170 [0.0130-0.0200)    3.5 [3.0-7.0)   0.695   0.20 [0.20-0.30)   1.18 [1.12-1.24)   0.1419 +- 0.0102 +- 0.0973
0.0170 [0.0130-0.0200)    3.5 [3.0-7.0)   0.695   0.20 [0.20-0.30)   1.31 [1.24-1.38)   0.1087 +- 0.0077 +- 0.0996
0.0170 [0.0130-0.0200)    3.5 [3.0-7.0)   0.695   0.20 [0.20-0.30)   1.45 [1.38-1.52)   0.0748 +- 0.0068 +- 0.1079
0.0170 [0.0130-0.0200)    3.5 [3.0-7.0)   0.695   0.20 [0.20-0.30)   1.60 [1.52-1.68)   0.0640 +- 0.0058 +- 0.1082
0.0170 [0.0130-0.0200)    3.5 [3.0-7.0)   0.695   0.20 [0.20-0.30)   1.77 [1.68-1.85)   0.0450 +- 0.0046 +- 0.1163
0.0170 [0.0130-0.0200)    3.5 [3.0-7.0)   0.695   0.20 [0.20-0.30)   1.95 [1.85-2.05)   0.0264 +- 0.0030 +- 0.1270
0.0170 [0.0130-0.0200)    3.5 [3.0-7.0)   0.695   0.20 [0.20-0.30)   2.20 [2.05-2.35)   0.0239 +- 0.0024 +- 0.1187
0.0170 [0.0130-0.0200)    3.5 [3.0-7.0)   0.695   0.20 [0.20-0.30)   2.50 [2.35-2.65)   0.0155 +- 0.0019 +- 0.1309
0.0170 [0.0130-0.0200)    3.5 [3.0-7.0)   0.695   0.20 [0.20-0.30)   2.83 [2.65-3.00)   0.0114 +- 0.0015 +- 0.1362
0.0260 [0.0200-0.0320)    4.1 [3.0-7.0)   0.534   0.20 [0.20-0.30)   0.11 [0.10-0.12)   5.1542 +- 0.1009 +- 0.0805
0.0260 [0.0200-0.0320)    4.1 [3.0-7.0)   0.534   0.20 [0.20-0.30)   0.13 [0.12-0.14)   4.7845 +- 0.0979 +- 0.0811
0.0260 [0.0200-0.0320)    4.1 [3.0-7.0)   0.534   0.20 [0.20-0.30)   0.16 [0.14-0.17)   4.2987 +- 0.0752 +- 0.0813
0.0260 [0.0200-0.0320)    4.1 [3.0-7.0)   0.534   0.20 [0.20-0.30)   0.18 [0.17-0.20)   3.8589 +- 0.0766 +- 0.0824
0.0260 [0.0200-0.0320)    4.1 [3.0-7.0)   0.534   0.20 [0.20-0.30)   0.21 [0.20-0.23)   3.3868 +- 0.0629 +- 0.0833
0.0260 [0.0200-0.0320)    4.1 [3.0-7.0)   0.534   0.20 [0.20-0.30)   0.25 [0.23-0.27)   2.7296 +- 0.0514 +- 0.0848
0.0260 [0.0200-0.0320)    4.1 [3.0-7.0)   0.534   0.20 [0.20-0.30)   0.29 [0.27-0.30)   2.4359 +- 0.0571 +- 0.0868
